driverId,week,hours-logged,miles-logged
20,33,71,300
97,29,74,3800
22,45,56,1700
37,38,62,1900
23,39,80,2400
107,24,78,3300
91,6,71,300
68,16,50,800
103,50,51,600
81,40,51,3000
81,39,56,0
82,40,58,3900
98,31,61,900
32,13,69,900
41,26,70,2500
70,4,75,3600
89,12,57,4000
25,1,54,1400
55,51,58,1700
21,34,68,500
79,10,77,2900
62,17,50,600
13,44,55,1200
11,48,62,2000
34,25,56,700
81,32,50,2400
75,33,69,700
27,34,75,1100
47,15,77,2000
45,37,74,200
88,33,58,3600
105,5,79,200
67,41,70,200
86,13,61,2900
44,8,60,1000
92,7,52,3400
98,25,52,1400
30,37,52,3500
68,5,50,1500
98,7,54,600
40,14,65,2400
59,1,51,300
104,18,66,3300
47,29,72,2800
55,28,60,200
67,21,60,700
11,52,64,1700
46,52,54,3700
10,18,65,1200
22,32,65,1400
80,19,60,500
94,1,56,2000
49,17,76,200
34,51,57,1400
61,5,70,2400
66,47,76,1900
108,52,78,2100
94,14,50,1500
20,6,65,700
53,32,78,2000
27,11,76,1100
33,44,79,3100
82,9,62,2200
46,4,79,2100
21,32,62,1700
71,5,75,3200
70,19,56,2800
67,6,59,3200
61,22,73,4000
34,9,75,100
45,19,68,3500
76,43,80,2500
80,18,68,3500
39,22,60,100
16,24,75,3100
16,23,73,900
75,2,57,3800
19,25,75,1600
77,19,67,1300
21,6,50,900
52,38,72,3700
25,15,62,3000
69,10,61,500
55,15,70,2100
10,37,59,300
89,30,66,2900
101,31,66,3800
76,12,59,3000
37,41,73,3700
19,39,50,3800
25,13,80,400
43,1,69,1300
48,31,50,3800
19,42,50,1000
68,4,69,1400
108,20,76,2500
86,21,62,700
34,2,53,1200
42,43,79,1500
22,33,77,500
45,21,58,1900
51,32,54,3600
97,14,75,1600
21,40,73,1700
66,40,65,3900
24,16,50,1400
98,2,60,4000
93,42,69,700
32,10,53,1700
93,34,58,1900
97,41,66,1700
24,26,78,2600
17,42,70,1600
100,32,58,3200
21,52,74,1800
64,20,80,3000
81,2,52,2400
58,8,56,200
106,41,65,3800
58,1,68,3800
41,50,62,2700
31,28,66,3400
109,21,75,1700
80,28,71,3200
85,12,73,500
29,49,69,1900
36,14,74,300
26,48,75,3700
63,18,76,2900
36,5,51,600
68,43,53,4000
65,39,73,900
58,44,56,2500
44,51,73,3700
101,14,53,300
79,41,59,100
70,7,69,1900
42,35,79,2200
47,29,73,1700
80,46,79,3300
46,45,52,3000
68,47,75,2100
109,4,75,1100
99,35,70,3300
104,17,71,1900
27,23,67,2200
31,43,70,3500
79,18,71,1300
57,33,65,2600
69,8,53,300
104,18,67,100
24,24,72,3600
93,21,66,1300
28,34,61,2300
38,30,51,3500
106,6,74,3900
57,35,71,2300
45,16,75,2900
55,22,75,3300
83,42,61,3200
30,19,65,500
81,44,78,3200
54,40,71,2800
99,22,66,2900
28,20,73,3400
46,46,61,3000
12,41,61,600
11,29,77,1000
98,8,56,400
79,2,54,600
59,48,55,3800
76,35,50,2400
18,38,68,3300
60,46,77,3900
82,33,67,800
83,36,74,3300
41,37,77,1000
78,4,61,1200
90,20,51,3800
52,16,59,800
38,1,57,100
77,43,52,600
69,47,53,100
96,29,52,200
19,45,65,1400
39,40,79,1700
109,31,77,2900
91,25,55,100
30,44,80,3400
71,29,73,3200
29,39,57,1400
52,45,57,2400
26,8,54,900
99,27,54,1400
47,47,75,3300
94,15,73,1800
26,26,76,500
79,51,67,300
86,16,61,1900
15,13,52,100
65,36,66,400
57,14,71,1500
61,42,54,1500
13,20,59,600
35,6,52,300
109,18,56,1700
40,44,74,1400
96,28,73,4000
89,22,52,2100
66,44,60,3300
60,42,64,600
78,8,77,3000
96,23,61,300
52,49,71,3500
101,42,66,1500
54,5,77,2400
41,8,76,1000
44,11,76,3000
54,51,62,100
36,20,65,2500
72,11,57,3200
49,35,64,1900
67,30,50,3700
37,31,79,1800
51,12,68,400
47,27,59,1100
40,27,55,2000
82,47,54,1300
80,17,65,2600
97,48,70,1900
14,45,61,3800
55,26,57,2700
26,1,65,2600
82,44,59,3700
78,13,74,500
55,12,62,100
19,36,70,3400
16,47,71,2200
81,26,71,3000
67,28,52,2800
54,35,66,1200
74,50,55,3100
100,18,80,2700
90,34,66,2600
58,31,75,3100
63,4,70,3400
71,12,53,200
43,10,75,800
92,46,76,1900
62,23,66,3500
25,24,69,2600
35,49,53,3200
40,42,55,300
16,24,73,3400
70,27,63,3800
85,29,58,100
93,31,76,1900
42,52,60,2000
29,35,59,0
54,38,72,900
93,51,76,2300
65,23,52,3700
35,2,58,3900
59,23,69,500
95,3,76,800
26,48,76,1200
56,48,68,1500
48,16,66,600
54,18,56,1800
92,9,61,1100
47,31,56,2000
89,31,63,3100
24,28,63,3400
108,36,70,2200
91,21,51,3900
108,11,75,900
96,48,63,2800
47,8,72,3800
80,3,57,2500
101,12,55,1000
97,30,72,2100
50,10,71,500
70,5,65,2100
56,33,77,1600
36,41,63,3300
55,34,79,200
69,7,53,2100
75,18,79,1700
12,26,71,1500
12,15,57,2900
102,41,68,3800
11,38,69,3000
55,9,79,900
43,47,55,600
35,37,66,1200
21,48,60,2300
48,41,62,1000
27,12,74,2300
43,12,66,2500
43,35,79,2500
52,29,75,1100
89,49,77,600
95,31,64,3000
97,24,54,4000
21,18,79,200
105,26,60,2400
71,38,69,2600
96,41,61,3700
28,39,61,900
37,17,69,1300
14,46,62,3000
18,15,67,700
78,34,60,1000
102,28,70,3700
62,19,63,1100
60,38,64,2700
70,45,59,2200
64,24,59,200
31,20,66,800
19,13,78,1000
91,5,75,400
82,33,79,2500
99,47,79,1600
29,25,61,1900
84,4,53,900
99,29,52,2900
65,44,70,2700
42,51,79,700
87,12,66,2800
73,2,67,1700
23,48,70,2000
87,18,50,100
64,32,65,2800
106,52,57,1600
64,45,60,300
76,29,78,3900
70,52,64,3100
34,46,56,1000
98,19,75,3000
70,4,66,1300
95,23,66,3800
45,34,54,3600
87,10,71,1900
48,51,78,0
12,28,62,1000
57,15,56,400
69,8,72,1500
76,17,51,1900
31,43,52,3600
42,45,58,1900
66,39,64,1000
95,15,65,2500
46,47,53,3500
23,25,73,3000
16,3,62,1200
68,12,60,1900
102,14,62,700
70,34,52,1700
109,31,61,600
19,6,62,1400
38,39,65,700
101,33,53,3000
96,46,67,3100
66,31,59,200
79,19,56,1000
42,18,56,3600
95,26,53,1000
91,4,55,3400
104,25,68,0
55,28,77,3100
74,23,61,1600
45,37,75,700
75,17,65,1000
100,49,65,2800
45,14,69,2000
85,39,66,2500
60,36,64,3400
52,35,65,2100
25,21,57,1900
94,6,57,1800
18,50,53,2100
97,32,60,2600
42,33,66,2400
45,47,55,3500
26,6,76,3200
103,13,66,2700
98,11,54,2000
106,26,65,3100
25,5,71,3700
22,6,80,2300
94,6,65,800
35,8,70,0
15,16,50,0
37,33,75,2500
78,52,73,4000
14,29,55,2200
69,26,80,1100
64,48,62,3600
92,34,52,2800
79,43,61,3900
69,45,60,2600
80,12,70,1100
74,31,53,2500
20,21,71,2400
33,26,63,3600
107,15,51,3700
80,51,60,1700
74,39,63,100
49,10,75,1100
20,24,77,1100
103,52,57,200
36,16,59,700
92,46,72,300
28,37,72,3000
103,17,69,3500
33,19,63,3300
94,35,53,3700
28,12,69,2500
44,16,68,3700
51,32,61,1500
77,48,74,1100
38,9,69,900
92,47,55,1900
18,38,74,3200
58,12,78,2600
53,7,76,200
49,35,69,3700
48,13,67,200
11,35,70,400
43,1,80,2800
40,16,59,300
85,11,60,500
49,17,74,3700
103,29,67,2000
21,15,77,1800
96,21,51,1800
45,19,55,3300
41,39,50,2300
94,37,63,1200
84,7,57,0
95,40,60,2000
63,31,73,200
33,27,74,3200
91,44,61,2700
87,39,78,3100
25,35,63,1500
101,32,62,900
100,48,55,800
24,7,67,100
34,14,78,1400
10,12,71,3100
74,42,76,3800
37,45,72,2000
104,41,61,2700
78,22,68,2100
55,25,78,3600
54,3,56,1600
95,36,53,2900
36,44,53,1000
38,14,56,3400
42,49,69,2200
49,9,74,2400
94,9,75,3900
19,40,60,3600
59,23,55,2500
14,48,70,1700
16,8,66,3900
38,27,65,2400
27,24,58,2700
73,51,51,2300
73,47,51,700
95,10,78,400
46,17,74,3600
51,49,65,2500
88,27,77,1300
16,14,67,3700
42,22,76,1300
34,12,62,3100
86,17,61,3500
29,6,67,1100
92,38,50,900
70,23,57,3300
25,1,75,3300
83,33,69,3600
78,17,79,2700
29,5,55,2800
104,11,57,2300
61,28,69,400
17,44,50,500
27,14,52,500
22,33,63,3700
29,3,65,1100
27,37,51,1200
28,34,51,800
86,50,71,3800
57,43,77,4000
97,23,61,1800
107,12,56,300
102,24,65,1700
56,29,68,900
18,16,61,900
56,3,65,1000
81,12,70,3800
88,36,68,1400
56,22,70,3600
13,27,69,1100
30,40,60,2200
20,15,56,2200
70,9,55,2900
56,34,57,2000
48,5,69,2900
39,47,57,3600
45,18,50,1400
70,40,79,100
41,4,61,2900
20,47,75,400
58,15,62,3100
106,25,70,3900
78,17,50,1900
87,35,59,2100
45,14,54,0
32,4,51,900
57,2,51,200
96,27,75,2300
44,49,71,1300
45,17,61,2700
74,4,64,900
95,7,71,3100
92,35,56,3600
11,44,74,900
73,43,60,3000
63,8,73,2400
21,9,70,3600
76,6,56,3800
41,5,58,800
35,5,73,800
15,12,65,2800
49,9,57,3800
96,25,51,1600
108,45,80,2800
74,10,66,1700
45,39,80,1600
72,13,77,1700
94,27,71,0
100,39,80,1000
80,51,78,1100
39,33,67,400
76,8,76,1000
23,36,70,4000
101,18,61,1000
64,26,58,1100
41,36,77,300
52,1,72,400
109,16,55,1300
45,31,65,700
81,4,71,1900
25,41,69,4000
29,19,78,2400
40,7,55,400
68,42,51,200
43,50,62,3600
105,31,60,1900
24,49,50,1600
67,48,70,2100
74,44,50,300
106,27,73,800
29,16,74,2900
73,37,53,1500
80,12,67,3100
19,25,72,2400
65,21,52,2300
71,5,54,2100
94,21,67,1200
69,24,78,2100
71,38,63,3100
53,37,50,700
49,29,76,200
90,9,54,3100
105,3,73,1200
42,51,77,700
93,3,57,500
27,26,72,600
74,25,66,2300
104,15,60,1100
87,48,74,900
99,34,78,800
91,26,67,1600
57,50,60,3300
20,24,58,600
91,10,75,3300
56,31,78,3500
87,15,53,2700
31,41,54,2200
84,28,63,3200
36,6,50,2300
74,21,54,3800
80,45,75,2400
88,33,80,300
24,13,65,3700
93,39,63,600
81,8,72,2800
25,18,52,1000
68,1,70,500
74,40,80,500
56,13,74,3700
73,52,58,3300
31,13,73,700
75,21,71,3300
97,35,70,1500
56,6,57,2400
12,26,80,2900
43,40,70,2300
65,12,78,3200
12,24,54,3500
96,50,61,3200
63,48,56,900
17,17,68,1400
98,26,80,2600
20,22,65,1500
100,50,78,1600
32,51,63,1900
73,15,63,3800
72,32,60,400
77,11,50,900
68,13,70,2400
42,18,54,200
68,4,52,1900
64,14,71,1700
103,46,74,600
60,30,64,800
11,42,74,2200
64,39,70,3400
55,25,62,200
106,12,67,1200
84,46,71,3600
33,13,58,1800
14,16,62,2900
33,40,57,3900
54,26,71,3700
105,4,58,1300
86,31,74,700
73,17,61,3800
14,15,55,500
25,18,80,2700
30,3,76,3300
27,47,64,3600
73,9,68,500
104,35,66,2900
49,38,66,3700
86,34,68,200
108,21,70,3600
12,26,60,1600
13,1,54,1000
25,7,56,3900
101,46,67,2800
60,24,51,2400
36,32,57,900
46,42,56,1400
22,37,77,1900
77,23,63,2300
96,37,54,1800
31,51,60,1000
26,8,65,2100
89,39,63,0
60,5,55,800
41,3,73,3100
53,32,63,1900
26,9,52,3800
64,29,54,800
101,50,62,3100
103,19,71,1400
98,33,77,3500
36,18,62,3000
63,51,54,3700
97,33,55,3900
40,43,63,100
13,36,65,500
108,29,59,1400
100,24,77,100
70,5,63,800
79,14,68,1400
109,4,67,900
28,22,60,1000
56,17,63,1700
62,17,72,2700
12,6,75,3800
88,45,63,1300
50,40,52,2900
83,49,54,2300
14,46,80,3000
108,21,65,2800
27,43,60,500
94,42,61,800
19,11,55,3200
65,20,61,3300
80,1,61,2200
109,47,72,3600
68,22,59,100
91,18,67,2200
71,37,58,3700
85,16,79,100
46,31,67,300
100,40,67,1200
85,31,76,2300
29,21,64,600
71,51,77,2200
18,39,58,500
92,10,69,2600
107,19,74,4000
19,23,71,2800
100,28,51,4000
83,9,56,2000
13,4,53,800
11,34,50,2500
78,39,79,800
76,25,63,2000
64,36,64,2900
32,35,64,1200
29,12,50,3900
49,20,72,3800
43,48,75,1600
54,37,72,3100
12,7,72,600
80,8,79,2900
64,30,63,3900
53,39,72,2100
53,40,68,1600
60,34,70,100
20,42,66,200
48,30,57,3500
84,33,61,2000
28,16,52,2000
45,21,79,2900
19,45,65,300
48,26,62,3500
98,34,76,400
73,33,77,2600
78,17,51,1700
39,25,62,3300
59,44,54,2100
53,44,69,3700
73,31,70,1200
93,10,76,1800
47,38,69,3500
102,8,77,1200
38,37,55,1500
79,5,72,4000
90,36,60,1300
54,11,64,3200
72,45,78,2900
18,18,79,3600
15,46,55,3100
82,49,51,1000
82,22,71,1600
37,21,75,2200
67,14,56,3300
105,22,80,2000
73,37,61,2900
18,50,52,3900
11,15,65,2700
35,14,58,900
80,4,75,3200
65,39,64,100
21,21,52,4000
52,50,60,2200
37,8,76,1600
109,10,59,2100
16,46,71,300
79,26,63,2500
29,29,65,200
54,45,66,1400
60,22,76,1900
81,51,53,900
106,30,68,1100
29,3,72,2000
87,2,70,500
46,45,52,2100
66,42,51,2700
93,3,61,1700
70,51,52,1700
67,18,71,2500
44,17,74,1900
72,43,70,3900
103,12,68,4000
91,42,77,1800
98,51,51,3500
69,39,79,1400
91,7,78,3100
77,14,75,3600
38,45,65,3600
40,8,66,600
73,6,62,2400
13,32,68,4000
69,28,66,400
67,18,73,700
67,40,54,1100
94,41,74,500
40,43,59,3800
19,48,73,2700
102,31,74,3800
83,3,64,0
12,48,71,4000
98,2,54,700
69,16,78,1200
43,15,69,2100
28,43,75,1900
98,1,66,2700
61,24,55,3500
106,12,73,1800
42,21,60,2100
13,33,51,4000
11,30,78,3000
47,3,56,2600
53,14,51,1600
26,47,54,3800
22,41,70,3400
25,4,71,2600
39,52,72,3500
23,52,60,3200
55,44,79,4000
25,18,51,1500
16,4,53,2100
44,17,59,100
27,45,69,0
87,47,67,1000
105,50,78,400
85,20,51,200
20,20,73,300
104,7,61,3000
13,35,51,3700
16,42,54,4000
87,41,60,100
98,13,77,2400
88,5,68,2400
105,6,79,3500
54,19,53,900
87,39,68,2900
15,36,76,3300
108,47,65,1500
85,33,71,1300
39,2,70,1800
13,7,80,3400
63,6,52,1200
33,10,76,200
16,48,69,700
63,37,52,2100
39,49,61,3300
53,19,76,1000
45,7,57,2900
104,47,67,3100
87,18,78,3700
81,38,69,2200
73,13,65,1900
89,18,67,2400
